CSV_VERSION=1.4
#Comment:-do not change matrix position or remove CSV_VERSION:
ID  ,PRODID               ,PARTNAME                   ,BOARDNAME                                ,SHORTNAME      ,ZYNQFLASHTYP           ,FPGAFLASHTYP                       ,PCB_REV  ,DDR_SIZE ,FLASH_SIZE ,EMMC_SIZE  ,OTHERS                     ,NOTES                                                ,DESIGN             ,CONFIG_SW_EXTPLL
#1  ,TE0820-ES1           ,xczu3eg-sfvc784-1-i-es1    ,trenz.biz:te0820_es1:part0:1.0           ,es1            ,qspi-x8-dual_parallel  ,mt25qu256-qspi-x8-dual_parallel    ,REV01     ,1GB      ,64MB      ,4GB        ,NA                         ,"Not longer supported by vivado"                     ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#2  ,TE0820-02-02CG-1E    ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0820_2cg_1e:part0:1.0        ,2cg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu256-qspi-x8-dual_parallel    ,REV02     ,1GB      ,64MB      ,4GB        ,NA                         ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#3  ,TE0820-02-02CG-1EA   ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0820_2cg_1e:part0:1.0        ,2cg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV02     ,1GB      ,128MB     ,4GB        ,NA                         ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#4  ,TE0820-02-02EG-1E    ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0820_2eg_1e:part0:1.0        ,2eg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu256-qspi-x8-dual_parallel    ,REV02     ,1GB      ,64MB      ,4GB        ,NA                         ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#5  ,TE0820-02-02EG-1E3   ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0820_2eg_1e:part0:1.0        ,2eg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu256-qspi-x8-dual_parallel    ,REV02     ,1GB      ,64MB      ,4GB        ,"2.5 mm connectors"        ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#6  ,TE0820-02-02EG-1EA   ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0820_2eg_1e:part0:1.0        ,2eg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV02     ,1GB      ,128MB     ,4GB        ,NA                         ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#7  ,TE0820-02-02EG-1EL   ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0820_2eg_1e:part0:1.0        ,2eg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV02     ,1GB      ,128MB     ,4GB        ,"2.5 mm connectors"        ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#8  ,TE0820-02-03CG-1E    ,xczu3cg-sfvc784-1-e        ,trenz.biz:te0820_3cg_1e:part0:1.0        ,3cg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu256-qspi-x8-dual_parallel    ,REV02     ,1GB      ,64MB      ,4GB        ,NA                         ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#9  ,TE0820-02-03CG-1EA   ,xczu3cg-sfvc784-1-e        ,trenz.biz:te0820_3cg_1e:part0:1.0        ,3cg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV02     ,1GB      ,128MB     ,4GB        ,NA                         ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#10 ,TE0820-02-03EG-1E    ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0820_3eg_1e:part0:1.0        ,3eg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu256-qspi-x8-dual_parallel    ,REV02     ,1GB      ,64MB      ,4GB        ,NA                         ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#11 ,TE0820-02-03EG-1E3   ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0820_3eg_1e:part0:1.0        ,3eg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu256-qspi-x8-dual_parallel    ,REV02     ,1GB      ,64MB      ,4GB        ,"2.5 mm connectors"        ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#12 ,TE0820-02-03EG-1EA   ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0820_3eg_1e:part0:1.0        ,3eg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV02     ,1GB      ,128MB     ,4GB        ,NA                         ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#13 ,TE0820-02-03EG-1EL   ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0820_3eg_1e:part0:1.0        ,3eg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV02     ,1GB      ,128MB     ,4GB        ,"2.5 mm connectors"        ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
#14 ,TE0820-02-04CG-1EA   ,xczu4cg-sfvc784-1-e        ,trenz.biz:te0820_4cg_1e:part0:1.0        ,4cg_1e_1gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV02     ,1GB      ,128MB     ,4GB        ,NA                         ,"Not longer supported use 2020.2 or older"           ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
15  ,TE0820-03-02CG-1EA   ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0820_2cg_1e:part0:2.0        ,2cg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,4GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
16  ,TE0820-03-02CG-1ED   ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0820_2cg_1e:part0:2.0        ,2cg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
17  ,TE0820-03-02EG-1EA   ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0820_2eg_1e:part0:2.0        ,2eg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,4GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
18  ,TE0820-03-02EG-1EL   ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0820_2eg_1e:part0:2.0        ,2eg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,4GB        ,"2.5 mm connectors"        ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
19  ,TE0820-03-03CG-1EA   ,xczu3cg-sfvc784-1-e        ,trenz.biz:te0820_3cg_1e:part0:2.0        ,3cg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,4GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
20  ,TE0820-03-03EG-1EA   ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0820_3eg_1e:part0:2.0        ,3eg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,4GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
21  ,TE0820-03-03EG-1EL   ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0820_3eg_1e:part0:2.0        ,3eg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,4GB        ,"2.5 mm connectors"        ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
22  ,TE0820-03-04CG-1EA   ,xczu4cg-sfvc784-1-e        ,trenz.biz:te0820_4cg_1e:part0:2.0        ,4cg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,4GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
23  ,TE0820-03-04EV-1EA   ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0820_4ev_1e:part0:2.0        ,4ev_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,4GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
24  ,TE0820-03-2AE21FA    ,xczu2cg-sfvc784-1-e        ,trenz.biz:te0820_2cg_1e:part0:2.0        ,2cg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
25  ,TE0820-03-2AI21FA    ,xczu2cg-sfvc784-1-i        ,trenz.biz:te0820_2cg_1i:part0:2.0        ,2cg_1i_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
26  ,TE0820-03-2BE21FA    ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0820_2eg_1e:part0:2.0        ,2eg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
27  ,TE0820-03-2BE21FL    ,xczu2eg-sfvc784-1-e        ,trenz.biz:te0820_2eg_1e:part0:2.0        ,2eg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,"2.5 mm connectors"        ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
28  ,TE0820-03-2BI21FA    ,xczu2eg-sfvc784-1-i        ,trenz.biz:te0820_2eg_1i:part0:2.0        ,2eg_1i_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
29  ,TE0820-03-2BI21FL    ,xczu2eg-sfvc784-1-i        ,trenz.biz:te0820_2eg_1i:part0:2.0        ,2eg_1i_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,"2.5 mm connectors"        ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
30  ,TE0820-03-3AE21FA    ,xczu3cg-sfvc784-1-e        ,trenz.biz:te0820_3cg_1e:part0:2.0        ,3cg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
31  ,TE0820-03-3AI210A    ,xczu3cg-sfvc784-1-i        ,trenz.biz:te0820_3cg_1i:part0:2.0        ,3cg_1i_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,0GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
32  ,TE0820-03-3AI21FA    ,xczu3cg-sfvc784-1-i        ,trenz.biz:te0820_3cg_1i:part0:2.0        ,3cg_1i_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
33  ,TE0820-03-3BE21FA    ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0820_3eg_1e:part0:2.0        ,3eg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
34  ,TE0820-03-3BE21FL    ,xczu3eg-sfvc784-1-e        ,trenz.biz:te0820_3eg_1e:part0:2.0        ,3eg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,"2.5 mm connectors"        ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
35  ,TE0820-03-4AE21FA    ,xczu4cg-sfvc784-1-e        ,trenz.biz:te0820_4cg_1e:part0:2.0        ,4cg_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
36  ,TE0820-03-4AI21FI    ,xczu4cg-sfvc784-1-i        ,trenz.biz:te0820_4cg_1i:part0:3.0        ,4cg_1i_x_2gb   ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,"without ETH PHY"          ,NA                                                   ,TE0820             ,./misc/SI5338/te_Si5338-Registers.h
37  ,TE0820-03-4DE21FA    ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0820_4ev_1e:part0:2.0        ,4ev_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
38  ,TE0820-03-4DE21FC    ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0820_4ev_1e:part0:2.0        ,4ev_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,"without encryption NCNR"  ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
39  ,TE0820-03-4DE21FL    ,xczu4ev-sfvc784-1-e        ,trenz.biz:te0820_4ev_1e:part0:2.0        ,4ev_1e_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,"2.5 mm connectors"        ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
40  ,TE0820-03-4DI21FA    ,xczu4ev-sfvc784-1-i        ,trenz.biz:te0820_4ev_1i:part0:2.0        ,4ev_1i_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
41  ,TE0820-03-5DI21FA    ,xczu5ev-sfvc784-1-i        ,trenz.biz:te0820_5ev_1i:part0:2.0        ,5ev_1i_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
42  ,TE0820-03-5DR21FA    ,xazu5ev-sfvc784-1Q-q       ,trenz.biz:te0820_5ev_1q:part0:2.0        ,5ev_1q_2gb     ,qspi-x8-dual_parallel  ,mt25qu512-qspi-x8-dual_parallel    ,REV03     ,2GB      ,128MB     ,8GB        ,NA                         ,NA                                                   ,TE0820|HDMI701     ,./misc/SI5338/te_Si5338-Registers.h
