0,16384,0,-16384
1735,16291,-1735,-16291
3450,16016,-3450,-16016
5127,15560,-5127,-15560
6746,14930,-6746,-14930
8289,14131,-8289,-14131
9739,13174,-9739,-13174
11080,12068,-11080,-12068
12296,10827,-12296,-10827
13373,9464,-13373,-9464
14300,7994,-14300,-7994
15067,6435,-15067,-6435
15664,4803,-15664,-4803
16084,3117,-16084,-3117
16324,1396,-16324,-1396
16380,-339,-16380,339
16252,-2072,-16252,2072
15941,-3782,-15941,3782
15451,-5449,-15451,5449
14787,-7055,-14787,7055
13956,-8581,-13956,8581
12969,-10011,-12969,10011
11836,-11328,-11836,11328
10570,-12518,-10570,12518
9184,-13567,-9184,13567
7696,-14463,-7696,14463
6121,-15197,-6121,15197
4477,-15760,-4477,15760
2783,-16145,-2783,16145
1057,-16349,-1057,16349
-679,-16369,679,16369
-2409,-16205,2409,16205
-4112,-15859,4112,15859
-5768,-15334,5768,15334
-7360,-14637,7360,14637
-8869,-13775,8869,13775
-10278,-12759,10278,12759
-11571,-11598,11571,11598
-12734,-10308,12734,10308
-13755,-8901,13755,8901
-14620,-7394,14620,7394
-15321,-5804,15321,5804
-15849,-4149,15849,4149
-16200,-2447,16200,2447
-16368,-718,16368,718
-16352,1019,16352,-1019
-16152,2745,16152,-2745
-15770,4440,15770,-4440
-15211,6085,15211,-6085
-14481,7662,14481,-7662
-13588,9153,13588,-9153
-12542,10540,12542,-10540
-11356,11809,11356,-11809
-10041,12946,10041,-12946
-8614,13936,8614,-13936
-7089,14770,7089,-14770
-5485,15438,5485,-15438
-3819,15932,3819,-15932
-2110,16247,2110,-16247
-378,16379,378,-16379
1358,16327,-1358,-16327
3080,16091,-3080,-16091
4766,15675,-4766,-15675
6400,15082,-6400,-15082
7961,14319,-7961,-14319
9433,13395,-9433,-13395
10798,12321,-10798,-12321
12043,11108,-12043,-11108
13151,9770,-13151,-9770
14112,8322,-14112,-8322
14914,6781,-14914,-6781
15548,5163,-15548,-5163
16008,3488,-16008,-3488
16287,1773,-16287,-1773
16383,38,-16383,-38
16295,-1697,-16295,1697
16024,-3413,-16024,3413
15572,-5091,-15572,5091
14946,-6711,-14946,6711
14151,-8256,-14151,8256
13197,-9709,-13197,9709
12094,-11052,-12094,11052
10856,-12270,-10856,12270
9495,-13351,-9495,13351
8028,-14282,-8028,14282
6470,-15052,-6470,15052
4840,-15652,-4840,15652
3155,-16077,-3155,16077
1434,-16321,-1434,16321
-301,-16381,301,16381
-2034,-16257,2034,16257
-3745,-15950,3745,15950
-5413,-15463,5413,15463
-7020,-14803,7020,14803
-8548,-13976,8548,13976
-9980,-12992,9980,12992
-11300,-11862,11300,11862
-12493,-10599,12493,10599
-13545,-9216,13545,9216
-14445,-7730,14445,7730
-15183,-6156,15183,6156
-15749,-4514,15749,4514
-16139,-2820,16139,2820
-16347,-1095,16347,1095
-16371,641,16371,-641
-16211,2371,16211,-2371
-15869,4075,15869,-4075
-15348,5732,15348,-5732
-14654,7326,14654,-7326
-13796,8836,13796,-8836
-12783,10248,12783,-10248
-11625,11544,11625,-11544
-10337,12710,10337,-12710
-8933,13734,8933,-13734
-7428,14603,7428,-14603
-5840,15307,5840,-15307
-4186,15840,4186,-15840
-2485,16194,2485,-16194
-756,16366,756,-16366
981,16354,-981,-16354
2707,16158,-2707,-16158
4403,15781,-4403,-15781
6050,15225,-6050,-15225
7628,14499,-7628,-14499
9121,13610,-9121,-13610
10511,12567,-10511,-12567
11783,11383,-11783,-11383
12922,10071,-12922,-10071
13916,8646,-13916,-8646
14754,7124,-14754,-7124
15425,5521,-15425,-5521
15923,3856,-15923,-3856
16242,2148,-16242,-2148
16378,416,-16378,-416
16330,-1320,-16330,1320
16099,-3042,-16099,3042
15686,-4730,-15686,4730
15097,-6364,-15097,6364
14338,-7927,-14338,7927
13417,-9401,-13417,9401
12346,-10769,-12346,10769
11136,-12017,-11136,12017
9801,-13128,-9801,13128
8355,-14093,-8355,14093
6816,-14898,-6816,14898
5200,-15536,-5200,15536
3525,-16000,-3525,16000
1811,-16283,-1811,16283
76,-16383,-76,16383
-1658,-16299,1658,16299
-3375,-16032,3375,16032
-5054,-15584,5054,15584
-6676,-14961,6676,14961
-8223,-14170,8223,14170
-9678,-13219,9678,13219
-11023,-12120,11023,12120
-12245,-10884,12245,10884
-13329,-9526,13329,9526
-14263,-8061,14263,8061
-15036,-6505,15036,6505
-15641,-4876,15641,4876
-16069,-3192,16069,3192
-16317,-1472,16317,1472
-16381,263,16381,-263
-16261,1996,16261,-1996
-15958,3707,15958,-3707
-15476,5377,15476,-5377
-14820,6985,14820,-6985
-13996,8516,13996,-8516
-13016,9950,13016,-9950
-11889,11273,11889,-11273
-10628,12468,10628,-12468
-9248,13524,9248,-13524
-7763,14427,7763,-14427
-6192,15168,6192,-15168
-4551,15739,4551,-15739
-2858,16132,2858,-16132
-1134,16344,1134,-16344
603,16372,-603,-16372
2333,16216,-2333,-16216
4038,15878,-4038,-15878
5697,15361,-5697,-15361
7291,14671,-7291,-14671
8804,13817,-8804,-13817
10218,12806,-10218,-12806
11517,11652,-11517,-11652
12686,10367,-12686,-10367
13713,8965,-13713,-8965
14585,7462,-14585,-7462
15293,5876,-15293,-5876
15830,4223,-15830,-4223
16188,2523,-16188,-2523
16364,794,-16364,-794
16356,-942,-16356,942
16164,-2669,-16164,2669
15791,-4366,-15791,4366
15240,-6014,-15240,6014
14517,-7594,-14517,7594
13631,-9089,-13631,9089
12592,-10482,-12592,10482
